id,Line,Station Name,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,Entrance Type,Entry,ADA,Free Crossover,Entrance Latitude,Entrance Longitude
0,4 Avenue,25th St,R,,,,,,,,,,,Stair,1,0,0,40.660323,-73.997952
1,4 Avenue,25th St,R,,,,,,,,,,,Stair,1,0,0,40.660489,-73.99822
2,4 Avenue,36th St,N,R,,,,,,,,,,Stair,1,0,1,40.65449,-74.004499
3,4 Avenue,36th St,N,R,,,,,,,,,,Stair,1,0,1,40.654365,-74.004113
4,4 Avenue,36th St,N,R,,,,,,,,,,Stair,1,0,1,40.654676,-74.004306
5,4 Avenue,45th St,R,,,,,,,,,,,Stair,1,0,1,40.649389,-74.009333
6,4 Avenue,45th St,R,,,,,,,,,,,Stair,1,0,1,40.649424,-74.009728
7,4 Avenue,45th St,R,,,,,,,,,,,Stair,1,0,1,40.649265,-74.009457
8,4 Avenue,45th St,R,,,,,,,,,,,Stair,1,0,1,40.649546,-74.009602
9,4 Avenue,53rd St,R,,,,,,,,,,,Stair,1,0,1,40.644653,-74.01469
10,4 Avenue,53rd St,R,,,,,,,,,,,Stair,1,0,1,40.644493,-74.014419
11,4 Avenue,53rd St,R,,,,,,,,,,,Stair,1,0,1,40.644756,-74.014586
12,4 Avenue,53rd St,R,,,,,,,,,,,Stair,1,0,1,40.644601,-74.014309
13,4 Avenue,53rd St,R,,,,,,,,,,,Stair,0,0,1,40.645619,-74.013688
14,4 Avenue,59th St,N,R,,,,,,,,,,Stair,1,0,1,40.641606,-74.017897
15,4 Avenue,59th St,N,R,,,,,,,,,,Stair,1,0,1,40.641435,-74.017561
16,4 Avenue,59th St,N,R,,,,,,,,,,Stair,1,0,1,40.641778,-74.017722
17,4 Avenue,59th St,N,R,,,,,,,,,,Stair,1,0,1,40.641633,-74.017362
18,4 Avenue,59th St,N,R,,,,,,,,,,Stair,1,0,1,40.640682,-74.018857
19,4 Avenue,59th St,N,R,,,,,,,,,,Stair,1,0,1,40.640501,-74.018531
20,4 Avenue,77th St,R,,,,,,,,,,,Stair,1,0,1,40.62955,-74.025731
21,4 Avenue,77th St,R,,,,,,,,,,,Stair,1,0,1,40.629503,-74.025452
22,4 Avenue,77th St,R,,,,,,,,,,,Stair,0,0,1,40.630221,-74.025459
23,4 Avenue,86th St,R,,,,,,,,,,,Stair,1,0,1,40.622656,-74.028547
24,4 Avenue,86th St,R,,,,,,,,,,,Stair,1,0,1,40.622583,-74.028315
25,4 Avenue,86th St,R,,,,,,,,,,,Stair,1,0,1,40.623498,-74.028204
26,4 Avenue,95th St,R,,,,,,,,,,,Stair,1,0,1,40.616021,-74.031383
27,4 Avenue,95th St,R,,,,,,,,,,,Stair,1,0,1,40.615893,-74.03086
28,4 Avenue,95th St,R,,,,,,,,,,,Stair,1,0,1,40.616189,-74.031234
29,4 Avenue,95th St,R,,,,,,,,,,,Stair,1,0,1,40.617587,-74.030696
30,4 Avenue,95th St,R,,,,,,,,,,,Stair,1,0,1,40.617363,-74.030404
31,4 Avenue,9th St,F,G,R,,,,,,,,,Stair,1,0,1,40.670387,-73.98848
32,4 Avenue,9th St,F,G,R,,,,,,,,,Stair,1,0,1,40.670538,-73.988778
33,4 Avenue,Atlantic Av-Barclays Ctr,B,Q,D,N,R,2,3,4,5,,,Elevator,1,1,1,40.683805,-73.978487
34,4 Avenue,Bay Ridge Av,R,,,,,,,,,,,Stair,1,0,1,40.634827,-74.02358
35,4 Avenue,Bay Ridge Av,R,,,,,,,,,,,Stair,1,0,1,40.634768,-74.023339
36,4 Avenue,Bay Ridge Av,R,,,,,,,,,,,Stair,0,0,1,40.635468,-74.023313
37,4 Avenue,DeKalb Av,B,Q,R,,,,,,,,,Elevator,1,1,1,40.689804,-73.981164
38,4 Avenue,DeKalb Av,B,Q,R,,,,,,,,,Stair,1,1,1,40.68981,-73.981651
39,4 Avenue,DeKalb Av,B,Q,R,,,,,,,,,Stair,1,1,1,40.689817,-73.981082
40,4 Avenue,DeKalb Av,B,Q,R,,,,,,,,,Stair,1,1,1,40.68974,-73.981156
41,4 Avenue,DeKalb Av,B,Q,R,,,,,,,,,Easement,1,1,1,40.69154,-73.982565
42,4 Avenue,DeKalb Av,B,Q,R,,,,,,,,,Stair,1,1,1,40.691562,-73.982048
43,4 Avenue,Pacific St,B,Q,D,N,R,2,3,4,5,,,Stair,1,1,1,40.683905,-73.978879
44,4 Avenue,Pacific St,B,Q,D,N,R,2,3,4,5,,,Stair,1,1,1,40.683928,-73.978412
45,4 Avenue,Prospect Av,R,,,,,,,,,,,Stair,1,0,0,40.665299,-73.992729
46,4 Avenue,Prospect Av,R,,,,,,,,,,,Stair,1,0,0,40.665058,-73.993002
47,4 Avenue,Prospect Av,R,,,,,,,,,,,Stair,1,0,0,40.665269,-73.993245
48,4 Avenue,Union St,R,,,,,,,,,,,Stair,1,0,0,40.677001,-73.983133
49,4 Avenue,Union St,R,,,,,,,,,,,Stair,1,0,0,40.677279,-73.983327
50,4 Avenue,Union St,R,,,,,,,,,,,Stair,1,0,0,40.677171,-73.98302
51,4 Avenue,Union St,R,,,,,,,,,,,Stair,1,0,0,40.677135,-73.983416
52,42nd St Shuttle,Grand Central,GS,4,5,6,7,,,,,,,Easement,1,1,1,40.75283,-73.978917
53,42nd St Shuttle,Grand Central,GS,4,5,6,7,,,,,,,Easement,1,1,1,40.752218,-73.978396
54,42nd St Shuttle,Grand Central,GS,4,5,6,7,,,,,,,Easement,1,1,1,40.752279,-73.97828
